date,PX_LAST_3m,PX_LAST_1y
2023-08-22,7.0125,7.09
2023-08-23,7.1125,7.1725
2023-08-24,7.1275,7.205
2023-08-25,7.115,7.255
2023-08-28,7.015,7.1975
2023-08-29,6.85,7.1
2023-08-30,6.725,6.8975
2023-08-31,6.9175,6.9725
2023-09-01,6.885,6.985
2023-09-04,6.7625,6.8975
2023-09-05,6.97,7.0825
2023-09-06,7.0025,7.065
2023-09-07,7.0825,7.1175
2023-09-08,6.9125,7.0375
2023-09-11,6.8,6.95
2023-09-12,6.825,6.97
2023-09-13,6.7975,6.9475
2023-09-14,6.8825,6.9225
2023-09-15,6.8875,6.95
2023-09-18,6.8475,6.975
2023-09-19,6.8125,6.95
2023-09-20,6.7975,6.925
2023-09-21,6.925,6.9975
2023-09-22,6.78,6.9475
2023-09-25,6.9975,7.0625
2023-09-26,7.0975,7.1875
2023-09-27,7.185,7.315
2023-09-28,7.265,7.3375
2023-09-29,7.0975,7.25
2023-10-02,7.2,7.39
2023-10-03,7.47,7.6
2023-10-04,7.5875,7.6475
2023-10-05,7.4475,7.61
2023-10-06,7.19,7.475
2023-10-09,7.525,7.6775
2023-10-10,7.33,7.535
2023-10-11,7.2475,7.3975
2023-10-12,7.2,7.4175
2023-10-13,7.545,7.715
2023-10-16,7.4,7.5975
2023-10-17,7.31,7.585
2023-10-18,7.4025,7.71
2023-10-19,7.4975,7.7575
2023-10-20,7.4675,7.75
2023-10-23,7.2475,7.5525
2023-10-24,7.165,7.5
2023-10-25,7.255,7.515
2023-10-26,7.225,7.515
2023-10-27,7.0125,7.465
2023-10-30,6.8975,7.3725
2023-10-31,6.9675,7.35
2023-11-01,7.0125,7.3575
2023-11-02,6.8675,7.115
2023-11-03,6.665,6.925
2023-11-06,6.635,6.8975
2023-11-07,6.6625,6.91
2023-11-08,6.665,6.9025
2023-11-09,6.625,6.84
2023-11-10,6.4975,6.8825
2023-11-13,6.5025,6.8575
2023-11-14,6.3,6.7
2023-11-15,6.2475,6.625
2023-11-16,6.2225,6.5975
2023-11-17,6.1825,6.65
2023-11-20,6.1,6.4975
2023-11-21,6.1875,6.535
2023-11-22,6.31,6.5975
2023-11-23,6.2775,6.5725
2023-11-24,6.12,6.5175
2023-11-27,6.1075,6.5075
2023-11-28,6.125,6.525
2023-11-29,6.2475,6.5625
2023-11-30,6.3625,6.6
2023-12-01,6.4225,6.6325
2023-12-04,6.5325,6.73
2023-12-05,6.7175,6.885
2023-12-06,6.72,6.8975
2023-12-07,6.8475,6.9875
2023-12-08,6.7425,6.95
2023-12-11,6.7,6.935
2023-12-12,6.5625,6.88
2023-12-13,6.4125,6.8125
2023-12-14,6.4325,6.71
2023-12-15,6.425,6.73
2023-12-18,6.35,6.7375
